"Company","Domain","Verified Active Roles","Sample Roles","ATS Platform","Careers URL"
"Stripe","stripe.com","48","Staff Distributed Systems Engineer, Product Manager, Enterprise AE","Greenhouse","https://stripe.com/jobs"
"Datadog","datadoghq.com","42","Senior SRE, Solutions Architect, Technical Recruiter","Greenhouse","https://careers.datadoghq.com"
"Shopify","shopify.com","38","Senior Backend Engineer, Data Platform Lead, Senior Merchant Success","SmartRecruiters","https://www.shopify.com/careers"
"Wealthsimple","wealthsimple.com","34","Staff Software Engineer, Product Designer, Compliance Lead","Greenhouse","https://www.wealthsimple.com/en-ca/careers"
"Cohere","cohere.com","28","Member of Technical Staff (LLM), Machine Learning Engineer, GTM Lead","Ashby","https://cohere.com/careers"
"1Password","1password.com","26","Senior Security Engineer, Full Stack Developer, Customer Success Manager","Greenhouse","https://1password.com/careers"
"Figma","figma.com","29","Full Stack Engineer, Product Designer, Account Executive","Lever","https://figma.com/careers"
"Notion","notion.so","25","Infrastructure Engineer, Growth PM, Engineering Manager","Ashby","https://notion.so/careers"
"Ramp","ramp.com","24","Senior Software Engineer (Risk), Product Marketing Lead, Account Executive","Ashby","https://ramp.com/careers"
"Clio","clio.com","22","Senior Ruby on Rails Developer, Data Engineer, Sales Representative","Greenhouse","https://www.clio.com/about/careers"
"Faire","faire.com","20","Staff Machine Learning Engineer, Frontend Architect, Product Manager","Greenhouse","https://www.faire.com/careers"
"BenchSci","benchsci.com","18","Senior Bioinformatics Engineer, Platform Engineer, AI Research Scientist","Lever","https://www.benchsci.com/careers"
"Float","floatfinancial.com","15","Senior Backend Engineer (Node/TS), Customer Support Specialist, Mid-Market AE","Ashby","https://floatfinancial.com/careers"
"Ada","ada.cx","14","Senior Python Engineer, Enterprise Account Executive, Solutions Consultant","Greenhouse","https://www.ada.cx/careers"
"Clearco","clear.co","12","Underwriting Data Scientist, Senior DevOps Engineer, FinOps Specialist","Lever","https://clear.co/careers"
